Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
High,High,Low,High,No,Adequate,Medium,Low,Yes,Few,Low,Medium,Public,Positive,Medium,No,High school,Near,Male,Fail
Medium,Medium,Low,Medium,No,Adequate,Low,Low,Yes,Few,Medium,Medium,Public,Negative,Medium,No,College,Moderate,Female,Pass
High,High,Medium,Medium,Yes,Adequate,High,Medium,Yes,Few,Medium,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Male,Pass
High,High,Low,Medium,Yes,Adequate,High,Medium,Yes,Few,Medium,Medium,Public,Negative,Medium,No,High school,Moderate,Male,Pass
Medium,High,Medium,Medium,Yes,Low,Medium,Medium,Yes,Many,Medium,High,Public,Neutral,Medium,No,College,Near,Female,Pass
Medium,High,Medium,Medium,Yes,Adequate,High,Medium,Yes,Many,Medium,Medium,Public,Positive,Medium,No,Postgraduate,Near,Male,Pass
High,High,Medium,Low,Yes,Adequate,Medium,Low,Yes,Few,Low,Medium,Private,Neutral,Low,No,High school,Moderate,Male,Pass
High,Medium,Low,High,Yes,Low,Low,Medium,Yes,Few,High,High,Public,Negative,Low,No,High school,Far,Male,Pass
Medium,High,Medium,High,No,Low,Medium,Low,Yes,Few,Medium,Low,Private,Neutral,Low,No,College,Near,Male,Pass
High,High,Medium,Medium,Yes,Adequate,Medium,Medium,Yes,Few,High,High,Public,Positive,Medium,No,High school,Moderate,Male,Pass
Medium,Medium,Low,High,No,Adequate,High,Medium,No,Many,Medium,High,Private,Neutral,Medium,No,College,Moderate,Male,Pass
Medium,High,Medium,High,Yes,Low,High,Low,Yes,Few,Low,High,Private,Neutral,Low,No,High school,Near,Male,Pass
High,High,Medium,Medium,Yes,Adequate,High,Low,Yes,Few,Medium,Medium,Public,Positive,Medium,No,High school,Near,Male,Fail
Low,High,Medium,Medium,Yes,Adequate,Medium,Medium,Yes,Few,Medium,Medium,Private,Positive,Medium,No,Postgraduate,Near,Male,Pass
Low,Medium,Medium,High,Yes,Adequate,Medium,Medium,Yes,Few,Low,Medium,Private,Neutral,Medium,No,Postgraduate,Near,Male,Excellent
Medium,Medium,Medium,Medium,No,Adequate,Medium,Medium,Yes,Few,Medium,Medium,Private,Positive,Medium,No,High school,Near,Female,Pass
Medium,Low,Medium,Low,Yes,High,Medium,Low,Yes,Few,High,Low,Private,Negative,Medium,No,College,Near,Male,Fail
High,Medium,Low,Medium,Yes,Low,High,Medium,Yes,Few,Low,High,Public,Neutral,Medium,No,High school,Near,Female,Pass
Medium,Medium,Low,Medium,Yes,High,High,Low,Yes,Many,Low,Medium,Public,Positive,Low,No,College,Moderate,Female,Pass
Medium,Medium,Medium,High,Yes,Adequate,Low,Medium,Yes,Many,Medium,Medium,Private,Positive,Medium,No,College,Near,Male,Pass
High,Medium,High,Medium,No,Low,High,High,Yes,Few,High,Medium,Public,Negative,Low,No,High school,Moderate,Female,Pass
Medium,High,Medium,High,No,Low,High,Medium,Yes,Few,Medium,High,Public,Neutral,Medium,No,High school,Near,Male,Excellent
Medium,Medium,Medium,High,No,Adequate,High,Low,Yes,Few,Medium,Medium,Public,Negative,Low,No,College,Moderate,Female,Pass
